show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,primary_genre,primary_country,content_age_at_add,duration_minutes,seasons
s1,Movie,The Dream,Sofia Alvarez,"Wei Novak, Maria Patel, Grace Lee",Germany,2021-08-15,2002,TV-Y,74 min,Documentaries,A story about ambition set in Germany.,2021,August,Documentaries,Germany,19,74.0,
s2,Movie,Endless Journey,Hugo Fischer,"Grace Patel, Grace Ahmed, Carlos Khan",Spain,2019-07-24,2018,TV-MA,167 min,Reality TV,A story about war set in Spain.,2019,July,Reality TV,Spain,1,167.0,
s3,Movie,Secret Storm,Alicia Wren,"Carlos Garcia, Aiko Brown",Japan,2019-09-28,2019,TV-MA,163 min,"Action & Adventure, Sci-Fi & Fantasy",A story about identity set in Japan.,2019,September,Action & Adventure,Japan,0,163.0,
s4,Movie,Midnight Horizon,Emily Carter,"Grace Garcia, John Patel, Fatima Kowalski",France,2017-08-11,2002,TV-14,118 min,"Sci-Fi & Fantasy, Anime",A story about war set in France.,2017,August,Sci-Fi & Fantasy,France,15,118.0,
s5,Movie,Golden Legacy,Kenji Watanabe,"Elena Patel, Wei Ahmed",Mexico,2016-10-31,2007,TV-Y7,118 min,"Romantic Movies, Anime",A story about war set in Mexico.,2016,October,Romantic Movies,Mexico,9,118.0,
s6,TV Show,The Legacy,Not Given,"Carlos Muller, Maria Khan, Tom Dubois, Tom Novak",Japan,2020-08-06,2006,TV-Y,6 Season,"International Movies, Action & Adventure",A story about family set in Japan.,2020,August,International Movies,Japan,14,,6.0
s7,TV Show,Broken Horizon,Not Given,"Wei Ahmed, Nina Garcia, Omar Smith",Egypt,2016-09-18,2003,TV-PG,7 Seasons,"Documentaries, Kids TV, Sci-Fi & Fantasy",A story about friendship set in Egypt.,2016,September,Documentaries,Egypt,13,,7.0
s8,Movie,Rising Journey,Alicia Wren,"Omar Patel, Aiko Garcia, Liam Kim, Wei Rossi",United States,2020-08-12,2008,TV-PG,134 min,Horror Movies,A story about ambition set in United States.,2020,August,Horror Movies,United States,12,134.0,
s9,Movie,Last Code,Hugo Fischer,"Elena Silva, Nina Smith",India,2018-06-13,2011,R,77 min,Documentaries,A story about betrayal set in India.,2018,June,Documentaries,India,7,77.0,
s10,TV Show,A Code,Not Given,"Raj Rossi, Yusuf Chen, Liam Ahmed",Egypt,2020-03-09,2019,R,5 Seasons,"Kids TV, Sports Movies, International Movies",A story about identity set in Egypt.,2020,March,Kids TV,Egypt,1,,5.0
s11,TV Show,Golden Heart,Not Given,"Maria Khan, Fatima Garcia, Aiko Smith, Elena Ahmed, Fatima Dubois",Canada,2015-10-18,2000,TV-MA,2 Season,Anime,A story about betrayal set in Canada.,2015,October,Anime,Canada,15,,2.0
s12,Movie,Midnight Heart,Sofia Alvarez,"Grace Lee, Tom Dubois, Elena Rossi",Canada,2019-07-26,2015,R,82 min,Reality TV,A story about war set in Canada.,2019,July,Reality TV,Canada,4,82.0,
s13,Movie,Silent Journey,Alicia Wren,"Carlos Novak, Aiko Kowalski",Egypt,2017-10-15,2003,R,94 min,"Sci-Fi & Fantasy, Documentaries, Kids TV",A story about survival set in Egypt.,2017,October,Sci-Fi & Fantasy,Egypt,14,94.0,
s14,Movie,Secret Shadow,Priya Sharma,"John Patel, Yusuf Brown",United States,2017-08-26,2002,TV-PG,122 min,"Docuseries, Action & Adventure",A story about identity set in United States.,2017,August,Docuseries,United States,15,122.0,
s15,TV Show,Last City (Season 4),Not Given,"Tom Kowalski, Omar Rossi, Liam Kim, Grace Novak",Nigeria,2020-09-17,2017,TV-Y7,2 Season,Comedies,A story about love set in Nigeria.,2020,September,Comedies,Nigeria,3,,2.0
