show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,The Dream,Sofia Alvarez,"Wei Novak, Maria Patel, Grace Lee",Germany,"August 15, 2021",2002,TV-Y,74 min,Documentaries,A story about ambition set in Germany.
s2,Movie,Endless Journey,Hugo Fischer,"Grace Patel, Grace Ahmed, Carlos Khan",Spain,"July 24, 2019",2018,TV-MA,167 min,Reality TV,A story about war set in Spain.
s3,Movie,Secret Storm,Alicia Wren,"Carlos Garcia, Aiko Brown",Japan,"September 28, 2019",2019,TV-MA,163 min,"Action & Adventure, Sci-Fi & Fantasy",A story about identity set in Japan.
s4,Movie,Midnight Horizon,Emily Carter,"Grace Garcia, John Patel, Fatima Kowalski",France,"August 11, 2017",2002,TV-14,118 min,"Sci-Fi & Fantasy, Anime",A story about war set in France.
s5,Movie,Golden Legacy,Kenji Watanabe,"Elena Patel, Wei Ahmed",Mexico,"October 31, 2016",2007,TV-Y7,118 min,"Romantic Movies, Anime",A story about war set in Mexico.
s6,TV Show,The Legacy,,"Carlos Muller, Maria Khan, Tom Dubois, Tom Novak",Japan,"August 6, 2020",2006,TV-Y,6 Season,"International Movies, Action & Adventure",A story about family set in Japan.
s7,TV Show,Broken Horizon,,"Wei Ahmed, Nina Garcia, Omar Smith",Egypt,"September 18, 2016",2003,TV-PG,7 Seasons,"Documentaries, Kids TV, Sci-Fi & Fantasy",A story about friendship set in Egypt.
s8,Movie,Rising Journey,Alicia Wren,"Omar Patel, Aiko Garcia, Liam Kim, Wei Rossi",United States,"August 12, 2020",2008,TV-PG,134 min,Horror Movies,A story about ambition set in United States.
s9,Movie,Last Code,Hugo Fischer,"Elena Silva, Nina Smith",India,"June 13, 2018",2011,R,77 min,Documentaries,A story about betrayal set in India.
s10,TV Show,A Code,,"Raj Rossi, Yusuf Chen, Liam Ahmed",Egypt,"March 9, 2020",2019,R,5 Seasons,"Kids TV, Sports Movies, International Movies",A story about identity set in Egypt.
s11,TV Show,Golden Heart,,"Maria Khan, Fatima Garcia, Aiko Smith, Elena Ahmed, Fatima Dubois",Canada,"October 18, 2015",2000,TV-MA,2 Season,Anime,A story about betrayal set in Canada.
s12,Movie,Midnight Heart,Sofia Alvarez,"Grace Lee, Tom Dubois, Elena Rossi",Canada,"July 26, 2019",2015,R,82 min,Reality TV,A story about war set in Canada.
s13,Movie,Silent Journey,Alicia Wren,"Carlos Novak, Aiko Kowalski",Egypt,"October 15, 2017",2003,R,94 min,"Sci-Fi & Fantasy, Documentaries, Kids TV",A story about survival set in Egypt.
s14,Movie,Secret Shadow,Priya Sharma,"John Patel, Yusuf Brown",United States,"August 26, 2017",2002,TV-PG,122 min,"Docuseries, Action & Adventure",A story about identity set in United States.
s15,TV Show,Last City (Season 4),,"Tom Kowalski, Omar Rossi, Liam Kim, Grace Novak",Nigeria,"September 17, 2020",2017,TV-Y7,2 Season,Comedies,A story about love set in Nigeria.
s16,TV Show,The Journey,,"John Ahmed, Maria Brown, Wei Garcia",Australia,"August 21, 2017",2002,TV-Y,1 Seasons,"Romantic Movies, Horror Movies, Sci-Fi & Fantasy",A story about love set in Australia.
s17,Movie,Broken Horizon,Not Given,"Tom Muller, Fatima Patel, Grace Silva, Fatima Muller",South Korea,"May 13, 2018",2004,TV-Y7,110 min,Dramas,A story about friendship set in South Korea.
s18,Movie,Endless Shadow,Alicia Wren,"Yusuf Muller, Wei Lee, Aiko Lee",India,"February 22, 2019",2007,PG-13,90 min,"Horror Movies, Docuseries",A story about love set in India.
s19,Movie,Rising Dream,Alicia Wren,"Liam Garcia, Tom Garcia, Grace Ahmed",United Kingdom,"February 28, 2018",2008,G,96 min,"Anime, Action & Adventure, Docuseries",A story about family set in United Kingdom.
s20,Movie,Midnight Journey,Alicia Wren,"Sara Muller, John Smith, Aiko Kowalski, Wei Patel, Liam Chen",Mexico,"March 9, 2021",2014,TV-Y,141 min,Action & Adventure,A story about betrayal set in Mexico.
